scenario_id,scenario_name,base_version,period_date,country,product,segment,version,units,average_sale_price,unit_cogs,discount_rate,average_manufacturing_price,source
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Canada,Amarilla,Enterprise,SCENARIO,1789.032958984375,125.0,120.0,0.13,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Canada,Carretera,Government,SCENARIO,2160.936279296875,20.0,10.0,0.0,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Canada,Montana,Government,SCENARIO,1621.55908203125,350.0,260.0,0.14,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Canada,Paseo,Government,SCENARIO,1781.8594970703125,7.21,5.0,0.04,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Canada,Paseo,Small Business,SCENARIO,1682.72021484375,309.0,250.0,0.11,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Canada,VTT,Channel Partners,SCENARIO,1457.2059326171875,12.0,3.0,0.07,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Canada,Velo,Midmarket,SCENARIO,1292.6082763671875,15.0,10.0,0.1099999999999999,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,France,Amarilla,Enterprise,SCENARIO,1989.0201416015625,125.0,120.0,0.06,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,France,Carretera,Government,SCENARIO,1578.4130859375,20.0,10.0,0.12,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,France,Montana,Government,SCENARIO,2061.78564453125,350.0,260.0,0.05,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,France,Paseo,Government,SCENARIO,1574.826171875,7.0,5.0,0.0099999999999999,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,France,Paseo,Small Business,SCENARIO,1406.73095703125,300.0,250.0,0.03,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,France,VTT,Channel Partners,SCENARIO,1618.6741943359375,12.0,3.0,0.11,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,France,Velo,Midmarket,SCENARIO,1961.3250732421875,15.0,10.0,0.13,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Germany,Amarilla,Enterprise,SCENARIO,1675.8673095703125,125.0,120.0,0.11,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Germany,Carretera,Government,SCENARIO,2114.961669921875,20.0,10.0,0.0,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Germany,Montana,Government,SCENARIO,2079.87841796875,350.0,260.0,0.11,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Germany,Paseo,Government,SCENARIO,1527.6524658203125,7.0,5.0,0.0499999999999999,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Germany,Paseo,Small Business,SCENARIO,1668.3631591796875,300.0,250.0,0.13,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Germany,VTT,Channel Partners,SCENARIO,1917.331787109375,12.0,3.0,0.03,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Germany,Velo,Midmarket,SCENARIO,1178.7801513671875,15.0,10.0,0.1,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Mexico,Amarilla,Government,SCENARIO,1238.6558837890625,20.0,10.0,0.11,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Mexico,Montana,Channel Partners,SCENARIO,1933.2977294921875,12.0,3.0,0.0699999999999999,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Mexico,Paseo,Government,SCENARIO,1756.71728515625,350.0,260.0,0.09,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Mexico,Paseo,Small Business,SCENARIO,1273.9197998046875,300.0,250.0,0.09,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Mexico,VTT,Enterprise,SCENARIO,1482.142578125,125.0,120.0,0.11,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Mexico,Velo,Government,SCENARIO,2016.3892822265625,7.0,5.0,0.0,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,Mexico,Velo,Midmarket,SCENARIO,1906.58837890625,15.0,10.0,0.05,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,United States of America,Amarilla,Enterprise,SCENARIO,1912.79736328125,125.0,120.0,0.1,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,United States of America,Carretera,Government,SCENARIO,1718.789794921875,20.0,10.0,0.06,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,United States of America,Montana,Government,SCENARIO,1685.25830078125,350.0,260.0,0.13,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,United States of America,Paseo,Government,SCENARIO,2039.66845703125,7.0,5.0,0.13,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,United States of America,Paseo,Small Business,SCENARIO,1818.3084716796875,300.0,250.0,0.12,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,United States of America,VTT,Channel Partners,SCENARIO,1583.9173583984375,12.0,3.0,0.09,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-01-01,United States of America,Velo,Midmarket,SCENARIO,1947.654541015625,15.0,10.0,0.05,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-02-01,Canada,Amarilla,Government,SCENARIO,1477.0206298828125,350.0,260.0,0.1,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-02-01,Canada,Carretera,Channel Partners,SCENARIO,1512.1624755859375,12.0,3.0,0.11,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-02-01,Canada,Montana,Government,SCENARIO,1529.8531494140625,7.0,5.0,0.0799999999999999,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-02-01,Canada,Paseo,Government,SCENARIO,1483.6915283203125,20.6,10.0,0.0,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-02-01,Canada,Paseo,Midmarket,SCENARIO,1761.2095947265625,15.450000000000001,10.0,0.02,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-02-01,Canada,VTT,Small Business,SCENARIO,1336.7364501953125,300.0,250.0,0.0,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-02-01,Canada,Velo,Enterprise,SCENARIO,1785.7667236328125,125.0,120.0,0.06,,scenario_engine_v1
SCN_001,Canada Paseo Q1 Price Increase,FORECAST,2015-02-01,France,Amarilla,Government,SCENARIO,1815.4757080078125,350.0,260.0,0.0,,scenario_engine_v1
